term,Jamo,alphabet
가니오,ㄱㅏㄴㅣㅇㅗ,RKSLDH
가마리,ㄱㅏㅁㅏㄹㅣ,RKAKFL
가시니,ㄱㅏㅅㅣㄴㅣ,RKTLSL
가지라,ㄱㅏㅈㅣㄹㅏ,RKWLFK
거고나,ㄱㅓㄱㅗㄴㅏ,RJRHSK
거니라,ㄱㅓㄴㅣㄹㅏ,RJSLFK
거니오,ㄱㅓㄴㅣㅇㅗ,RJSLDH
거디라,ㄱㅓㄷㅣㄹㅏ,RJELFK
거리다,ㄱㅓㄹㅣㄷㅏ,RJFLEK
거스라,ㄱㅓㅅㅡㄹㅏ,RJTMFK
거시나,ㄱㅓㅅㅣㄴㅏ,RJTLSK
거시뇨,ㄱㅓㅅㅣㄴㅛ,RJTLSY
거시니,ㄱㅓㅅㅣㄴㅣ,RJTLSL
거시다,ㄱㅓㅅㅣㄷㅏ,RJTLEK
거이다,ㄱㅓㅇㅣㄷㅏ,RJDLEK
거지라,ㄱㅓㅈㅣㄹㅏ,RJWLFK
건대,ㄱㅓㄴㄷㅏㅣ,RJSEKL
건만,ㄱㅓㄴㅁㅏㄴ,RJSAKS
걸랑,ㄱㅓㄹㄹㅏㅇ,RJFFKD
고라쟈,ㄱㅗㄹㅏㅈㅑ,RHFKWI
곤대,ㄱㅗㄴㄷㅏㅣ,RHSEKL
관뎌,ㄱㅗㅏㄴㄷㅕ,RHKSEU
긧고,ㄱㅡㅣㅅㄱㅗ,RMLTRH
기로니,ㄱㅣㄹㅗㄴㅣ,RLFHSL
기로서,ㄱㅣㄹㅗㅅㅓ,RLFHTJ
길래,ㄱㅣㄹㄹㅏㅣ,RLFFKL
까장,ㄱㄱㅏㅈㅏㅇ,RRKWKD
까짓,ㄱㄱㅏㅈㅣㅅ,RRKWLT
나이다,ㄴㅏㅇㅣㄷㅏ,SKDLEK
나지라,ㄴㅏㅈㅣㄹㅏ,SKWLFK
남동,ㄴㅏㅁㄷㅗㅇ,SKAEHD
너이다,ㄴㅓㅇㅣㄷㅏ,SJDLEK
노니라,ㄴㅗㄴㅣㄹㅏ,SHSLFK
노라고,ㄴㅗㄹㅏㄱㅗ,SHFKRH
노라니,ㄴㅗㄹㅏㄴㅣ,SHFKSL
노소니,ㄴㅗㅅㅗㄴㅣ,SHTHSL
노소라,ㄴㅗㅅㅗㄹㅏ,SHTHFK
노이다,ㄴㅗㅇㅣㄷㅏ,SHDLEK
누라구,ㄴㅜㄹㅏㄱㅜ,SNFKRN
느냐고,ㄴㅡㄴㅑㄱㅗ,SMSIRH
느니라,ㄴㅡㄴㅣㄹㅏ,SMSLFK
느라고,ㄴㅡㄹㅏㄱㅗ,SMFKRH
느라니,ㄴㅡㄹㅏㄴㅣ,SMFKSL
는감,ㄴㅡㄴㄱㅏㅁ,SMSRKA
는강,ㄴㅡㄴㄱㅏㅇ,SMSRKD
는걸,ㄴㅡㄴㄱㅓㄹ,SMSRJF
는공,ㄴㅡㄴㄱㅗㅇ,SMSRHD
는군,ㄴㅡㄴㄱㅜㄴ,SMSRNS
는담,ㄴㅡㄴㄷㅏㅁ,SMSEKA
는대,ㄴㅡㄴㄷㅏㅣ,SMSEKL
는데,ㄴㅡㄴㄷㅓㅣ,SMSEJL
니깐,ㄴㅣㄱㄱㅏㄴ,SLRRKS
니께,ㄴㅣㄱㄱㅓㅣ,SLRRJL
니이다,ㄴㅣㅇㅣㄷㅏ,SLDLEK
닝까,ㄴㅣㅇㄱㄱㅏ,SLDRRK
다가며,ㄷㅏㄱㅏㅁㅕ,EKRKAU
다가셔,ㄷㅏㄱㅏㅅㅕ,EKRKTU
다느니,ㄷㅏㄴㅡㄴㅣ,EKSMSL
다니라,ㄷㅏㄴㅣㄹㅏ,EKSLFK
다더라,ㄷㅏㄷㅓㄹㅏ,EKEJFK
다라니,ㄷㅏㄹㅏㄴㅣ,EKFKSL
다마다,ㄷㅏㅁㅏㄷㅏ,EKAKEK
다소니,ㄷㅏㅅㅗㄴㅣ,EKTHSL
다소라,ㄷㅏㅅㅗㄹㅏ,EKTHFK
다스피,ㄷㅏㅅㅡㅍㅣ,EKTMVL
