term,Jamo
가니오,ㄱㅏㄴㅣㅇㅗ
가마리,ㄱㅏㅁㅏㄹㅣ
가시니,ㄱㅏㅅㅣㄴㅣ
가지라,ㄱㅏㅈㅣㄹㅏ
거고나,ㄱㅓㄱㅗㄴㅏ
거니라,ㄱㅓㄴㅣㄹㅏ
거니오,ㄱㅓㄴㅣㅇㅗ
거디라,ㄱㅓㄷㅣㄹㅏ
거리다,ㄱㅓㄹㅣㄷㅏ
거스라,ㄱㅓㅅㅡㄹㅏ
거시나,ㄱㅓㅅㅣㄴㅏ
거시뇨,ㄱㅓㅅㅣㄴㅛ
거시니,ㄱㅓㅅㅣㄴㅣ
거시다,ㄱㅓㅅㅣㄷㅏ
거이다,ㄱㅓㅇㅣㄷㅏ
거지라,ㄱㅓㅈㅣㄹㅏ
건대,ㄱㅓㄴㄷㅏㅣ
건만,ㄱㅓㄴㅁㅏㄴ
걸랑,ㄱㅓㄹㄹㅏㅇ
고라쟈,ㄱㅗㄹㅏㅈㅑ
곤대,ㄱㅗㄴㄷㅏㅣ
관뎌,ㄱㅗㅏㄴㄷㅕ
긧고,ㄱㅡㅣㅅㄱㅗ
기로니,ㄱㅣㄹㅗㄴㅣ
기로서,ㄱㅣㄹㅗㅅㅓ
길래,ㄱㅣㄹㄹㅏㅣ
까장,ㄱㄱㅏㅈㅏㅇ
까짓,ㄱㄱㅏㅈㅣㅅ
나이다,ㄴㅏㅇㅣㄷㅏ
나지라,ㄴㅏㅈㅣㄹㅏ
남동,ㄴㅏㅁㄷㅗㅇ
너이다,ㄴㅓㅇㅣㄷㅏ
노니라,ㄴㅗㄴㅣㄹㅏ
노라고,ㄴㅗㄹㅏㄱㅗ
노라니,ㄴㅗㄹㅏㄴㅣ
노소니,ㄴㅗㅅㅗㄴㅣ
노소라,ㄴㅗㅅㅗㄹㅏ
노이다,ㄴㅗㅇㅣㄷㅏ
누라구,ㄴㅜㄹㅏㄱㅜ
느냐고,ㄴㅡㄴㅑㄱㅗ
느니라,ㄴㅡㄴㅣㄹㅏ
느라고,ㄴㅡㄹㅏㄱㅗ
느라니,ㄴㅡㄹㅏㄴㅣ
는감,ㄴㅡㄴㄱㅏㅁ
는강,ㄴㅡㄴㄱㅏㅇ
는걸,ㄴㅡㄴㄱㅓㄹ
는공,ㄴㅡㄴㄱㅗㅇ
는군,ㄴㅡㄴㄱㅜㄴ
는담,ㄴㅡㄴㄷㅏㅁ
는대,ㄴㅡㄴㄷㅏㅣ
는데,ㄴㅡㄴㄷㅓㅣ
